year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Good,Biens,AC,5,1318004.97,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,AC,1,83968.5,18784.5,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Service,Services,TN,339,17735755.21,2726311.71,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Good,Biens,TN,241,7198885.04,65671.33,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2019,Construction,Construction,TN,6,121888.14,1658.77,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Service,Services,OB,111,8172941.38,489160.61,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Good,Biens,OB,140,7821927.59,-811.68,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Construction,Construction,OB,9,1959591.22,15503.25,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Service,Services,ST,10,1922427.57,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Good,Biens,ST,10,429959.14,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Construction,Construction,ST,1,18671.94,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Service,Services,TC,182,22877859.37,136128.43,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Good,Biens,TC,186,6464802.18,4836.93,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Construction,Construction,TC,27,1052245.57,42095.44,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Service,Services,AC,32,5781097.94,97020,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Good,Biens,AC,4,568268.52,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Construction,Construction,AC,1,73336.2,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Service,Services,TN,293,11304879.83,668915.52,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
