year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2018,Service,Services,5,29765,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Good,Biens,1,6085.75,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Construction,Construction,1,3930,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Service,Services,7,39566.95,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Good,Biens,6,18047.71,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Construction,Construction,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Service,Services,125,417953.93,29928.36,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Good,Biens,50,177817.03,-627.5,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Construction,Construction,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2018,Service,Services,108,421489.71,84762.2,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2018,Good,Biens,93,232658.67,2375.79,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2018,Construction,Construction,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Service,Services,95,380663.94,-7015.97,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Good,Biens,69,161598.65,8000,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2019,Construction,Construction,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2020,Service,Services,101,334158.55,27456.58,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2020,Good,Biens,41,157399.13,4516.59,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2020,Construction,Construction,0,0,0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2017,Service,Services,168,506930.28,0,Canadian Space Agency,Agence spatiale canadienne
2017,Good,Biens,126,432196.07,0,Canadian Space Agency,Agence spatiale canadienne
2017,Construction,Construction,12,54058.18,0,Canadian Space Agency,Agence spatiale canadienne
2018,Service,Services,357,549245.61,224728.99,Canadian Space Agency,Agence spatiale canadienne
2018,Good,Biens,166,408715.46,49711.19,Canadian Space Agency,Agence spatiale canadienne
2018,Construction,Construction,23,79609.01,17721.01,Canadian Space Agency,Agence spatiale canadienne
2020,Service,Services,68,290221.59,194626.67,Canadian Space Agency,Agence spatiale canadienne
2020,Good,Biens,54,198837.45,35654.13,Canadian Space Agency,Agence spatiale canadienne
2020,Construction,Construction,15,49010.2,9563.13,Canadian Space Agency,Agence spatiale canadienne
2017,Service,Services,17,162639.29,-61163.09,Canadian Transportation Agency,Office des transports du Canada
2017,Good,Biens,6,31339.05,4100.17,Canadian Transportation Agency,Office des transports du Canada
2017,Construction,Construction,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2020,Service,Services,25,122944.93,-1438.3,Canadian Transportation Agency,Office des transports du Canada
2020,Good,Biens,5,18504.74,0,Canadian Transportation Agency,Office des transports du Canada
2020,Construction,Construction,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2017,Service,Services,22,63694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Good,Biens,40,111694,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Construction,Construction,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Service,Services,19514,30487086.77,781349.09,Correctional Service of Canada,Service correctionnel du Canada
2017,Good,Biens,64503,80435078.98,204418.17,Correctional Service of Canada,Service correctionnel du Canada
2017,Construction,Construction,731,3562417.37,116525.5,Correctional Service of Canada,Service correctionnel du Canada
2018,Service,Services,19582,31630673.78,460314.25,Correctional Service of Canada,Service correctionnel du Canada
2018,Good,Biens,68996,90938663.35,85826.63,Correctional Service of Canada,Service correctionnel du Canada
2018,Construction,Construction,1396,4583277.39,139312.49,Correctional Service of Canada,Service correctionnel du Canada
2019,Service,Services,18643,31313102.16,888832.17,Correctional Service of Canada,Service correctionnel du Canada
2019,Good,Biens,64029,85010912.75,479214.41,Correctional Service of Canada,Service correctionnel du Canada
2019,Construction,Construction,1726,5364223.04,160872.23,Correctional Service of Canada,Service correctionnel du Canada
2020,Service,Services,14780,24823920.32,1070641.12,Correctional Service of Canada,Service correctionnel du Canada
2020,Good,Biens,64599,90645496.29,421191.2,Correctional Service of Canada,Service correctionnel du Canada
2020,Construction,Construction,1534,4423607.63,133997.51,Correctional Service of Canada,Service correctionnel du Canada
2017,Service,Services,300,567206.85,40893.84,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Good,Biens,914,859825.52,4475.4,Courts Administration Service,Service administratif des tribunaux judiciaires
2017,Construction,Construction,4,12422,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Service,Services,358,739028.43,39779.69,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Good,Biens,938,1358234.16,3101.6,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Construction,Construction,18,35605.66,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Service,Services,388,932993.97,33937.51,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Good,Biens,972,1550001.57,-1963.49,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Construction,Construction,4,2013.93,227,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Service,Services,5,6298.07,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2018,Good,Biens,1,3821.76,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2018,Construction,Construction,0,0,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2019,Service,Services,232,734831.3,51766.13,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2019,Good,Biens,51,167756.6,209.34,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2019,Construction,Construction,0,0,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2020,Service,Services,76,274494.29,23909.59,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2020,Good,Biens,25,116462.26,533.44,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2020,Construction,Construction,0,0,0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres
2017,Service,Services,104,376071.19,9216.87,Department of Finance Canada,Ministère des Finances Canada
2017,Good,Biens,94,226541.89,-249.42,Department of Finance Canada,Ministère des Finances Canada
2017,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2018,Service,Services,135,405947,26802,Department of Finance Canada,Ministère des Finances Canada
2018,Good,Biens,67,161931,0,Department of Finance Canada,Ministère des Finances Canada
2018,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Service,Services,101,308489.88,8857.24,Department of Finance Canada,Ministère des Finances Canada
2019,Good,Biens,33,138348.05,0,Department of Finance Canada,Ministère des Finances Canada
2019,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2020,Service,Services,87,348876.13,13063.05,Department of Finance Canada,Ministère des Finances Canada
2020,Good,Biens,32,160260.49,2026.88,Department of Finance Canada,Ministère des Finances Canada
2020,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2017,Service,Services,1408,3130804,330976,Department of Justice Canada,Ministère de la Justice Canada
2017,Good,Biens,556,1153341,27763,Department of Justice Canada,Ministère de la Justice Canada
2017,Construction,Construction,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2018,Service,Services,1349,3227493.43,197925.7,Department of Justice Canada,Ministère de la Justice Canada
2018,Good,Biens,444,984886.09,6216.5,Department of Justice Canada,Ministère de la Justice Canada
2018,Construction,Construction,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Service,Services,803,2152765.75,375594.65,Department of Justice Canada,Ministère de la Justice Canada
2019,Good,Biens,390,922529.38,43186.36,Department of Justice Canada,Ministère de la Justice Canada
2019,Construction,Construction,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2020,Service,Services,461,1572038.34,233301.32,Department of Justice Canada,Ministère de la Justice Canada
2020,Good,Biens,219,530687.12,40906.56,Department of Justice Canada,Ministère de la Justice Canada
2020,Construction,Construction,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2017,Service,Services,269,884852.36,28138.91,Elections Canada,Élections Canada
2017,Good,Biens,9,40111.45,2995.79,Elections Canada,Élections Canada
2017,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2018,Service,Services,215,705556.85,28006.3,Elections Canada,Élections Canada
2018,Good,Biens,37,231151.61,5505.18,Elections Canada,Élections Canada
2018,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2019,Service,Services,256,754362.02,16703.79,Elections Canada,Élections Canada
2019,Good,Biens,18,72159.77,0,Elections Canada,Élections Canada
2019,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2020,Service,Services,117,468456.05,4699.14,Elections Canada,Élections Canada
2020,Good,Biens,43,83592.36,0,Elections Canada,Élections Canada
2020,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2017,Service,Services,491,1559755.97,195732.73,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Good,Biens,70,209796.53,-21124.61,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Construction,Construction,4,29258.07,0,Employment and Social Development Canada,Emploi et Développement social Canada
2018,Service,Services,421,1651916.01,-163647.49,Employment and Social Development Canada,Emploi et Développement social Canada
2018,Good,Biens,59,140318.98,47571.43,Employment and Social Development Canada,Emploi et Développement social Canada
2018,Construction,Construction,2,2967.51,0,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Service,Services,823,1262765.34,113721.09,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Good,Biens,159,331122.44,46954.38,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Construction,Construction,1,171.7,0,Employment and Social Development Canada,Emploi et Développement social Canada
2020,Service,Services,389,1602069.94,57099.7,Employment and Social Development Canada,Emploi et Développement social Canada
2020,Good,Biens,140,483516.21,20255.5,Employment and Social Development Canada,Emploi et Développement social Canada
2020,Construction,Construction,0,0,0,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Service,Services,1636,6248919.2,79361.69,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Good,Biens,1129,3683953.7,-25130.7,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Construction,Construction,197,808890.3,2634.15,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Service,Services,1299,5826738,116229,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Good,Biens,960,2801183,-1165,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Construction,Construction,80,384835,2294,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2019,Service,Services,959,4506148.34,45010.74,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2019,Good,Biens,951,2523110.21,827.27,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2019,Construction,Construction,76,343886.9,4724.67,Environment and Climate Change Canada,Environnement et Changement climatique Canada
